EAN-13,Descricao,Cod.Prod,Validade,Info.nutricional
3000001302490,ABOBORA PICADA CUBOS 500g,13024-9,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001298441,ABOBR/CENOUR ESPAG.FRESH&GOURMET 600g PR,12984-4,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030747309,ALHO PORO FRESH&GOURMET 200g PR,307473-0,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001299509,BETERRABA FRESH&GOURMET 300g PR,12995-0,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001300281,CEBOLA PICADA FRESH&GOURMET 300g PR,13002-8,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001300526,CEBOLA ROXA PICADA FRESH&GOURMET 200g PR,13005-2,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001305088,CENOURA RALADA FRESH&GOURMET 500g PR,13050-8,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030747224,CENOURA RALADA FRESH&GOURMET 500g PR,307472-2,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001305323,COUVE PICADA FRESH&GOURMET 300g PR,13053-2,8,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001305408,ERVA DOCE FRESH&GOURMET 300g PR,13054-0,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001306641,SALSAO AIPO FRESH&GOURMET 300gPR,13066-4,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001301769,SALSAO AIPO FRESH&GOURMET 300gPR,13017-6,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001305750,MIX PIMENTAO FRESH&GOURMET 300g PR,13057-5,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001306306,PEPINO JAPONES FRESH&GOURMET 200g PR,13063-0,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001307020,VAGEM FRESH&GOURMET 300g PR,13070-2,7,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001300441,MIX FRUTINHA KIDS 2 350G,13004-4,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000001300793,MIX FRUTINHA KIDS 3 350G PR,13007-9,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030747811,AGUA DE COCO FRESH&GOURMET 300ml PR,307478-1,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030747149,POLPA DE MARACUJA FRESH&GOURMET 300ml PR,307471-4,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
3000030745879,ABACAXI PEROLA FRESH&GOURMET P 480g PR,307458-7,4,"[""Informacao nutricional - *%VD.Porcao de 100g "", ""1 fracao."", ""Valor energetico: IN01koal=IN13Kj - IP01%VD "", ""Carboidratos: 0g-0%VD"", ""Proteinas: IN03g-IP03%VD"", ""Gorduras totais: IN04g - IP04%VD"", ""Gorduras saturadas: IN05g - IP05%VD"", ""Gorduras trans: 0g**"", ""Fibra alimentar: IN06g - IP06%VD"", ""Sodio: IN10mg - IP10%VD"", ""Valores diários de referência com base em uma"", ""Dieta de 2.000kcal ou 8.400kJ."", ""Seus valores diários podem ser maiores ou"", ""menos dependendo das suas necessidades"", ""energeticos. **VD nao estabelecido,""]"
